SBWM-2			
4			
x			
y			
z			
gamma			
long UTM	lat UTM	z	gamma
4638.24	6252.62	265.3265232	112.606
4638.24	6252.62	266.3957616	128.895
4638.24	6252.62	267.1086888	173.513
4638.24	6252.62	268.5342384	111.898
4638.24	6252.62	269.6034768	140.227
4638.24	6252.62	269.959788	77.1955
4638.24	6252.62	270.316404	193.343
4638.24	6252.62	270.6727152	225.921
4638.24	6252.62	271.3856424	244.334
4638.24	6252.62	272.4548808	45.3258
4638.24	6252.62	273.167808	131.02
4638.24	6252.62	273.8804304	155.099
4638.24	6252.62	274.2370464	12.0397
4638.24	6252.62	275.3062848	111.19
4638.24	6252.62	276.019212	6.37394
4638.24	6252.62	277.8010728	92.068
4638.24	6252.62	278.8703112	77.1955
4638.24	6252.62	281.720496	93.4844
4638.24	6252.62	282.433728	109.773
4638.24	6252.62	284.216808	116.856
4638.24	6252.62	284.573424	134.561
4638.24	6252.62	284.93004	154.391
4638.24	6252.62	287.423304	99.1501
4638.24	6252.62	288.136536	154.391
4638.24	6252.62	290.989464	87.1105
4638.24	6252.62	293.839344	82.153
4638.24	6252.62	297.048888	85.6941
4638.24	6252.62	299.542152	84.2776
4638.24	6252.62	302.39508	89.2351
4638.24	6252.62	304.531728	101.275
4638.24	6252.62	305.601576	125.354
4638.24	6252.62	309.164688	106.941
4638.24	6252.62	310.947768	99.8584
4638.24	6252.62	312.374232	109.065
4638.24	6252.62	312.730848	118.272
4638.24	6252.62	315.580728	101.275
4638.24	6252.62	317.363808	116.856
4638.24	6252.62	319.86012	108.357
4638.24	6252.62	322.353384	123.938
4638.24	6252.62	322.71	92.068
4638.24	6252.62	324.849696	89.2351
4638.24	6252.62	326.273112	122.521
4638.24	6252.62	327.699576	109.065
4638.24	6252.62	329.839272	145.184
4638.24	6252.62	331.97592	133.853
4638.24	6252.62	334.828848	144.476
4638.24	6252.62	335.898696	160.057
4638.24	6252.62	338.748576	182.011
4638.24	6252.62	339.105192	112.606
4638.24	6252.62	340.17504	205.382
4638.24	6252.62	340.531656	157.932
4638.24	6252.62	341.95812	241.501
4638.24	6252.62	344.094768	123.229
4638.24	6252.62	344.094768	123.229
4638.24	6252.62	344.451384	99.1501
4638.24	6252.62	349.797576	125.354
4638.24	6252.62	353.00712	116.147
4638.24	6252.62	354.07392	144.476
4638.24	6252.62	356.213616	101.275
4638.24	6252.62	357.996696	129.603
4638.24	6252.62	363.342888	87.8187
4638.24	6252.62	366.192768	126.062
4638.24	6252.62	369.75588	99.8584
4638.24	6252.62	373.32204	117.564
4638.24	6252.62	375.10512	94.1926
4638.24	6252.62	379.73808	85.6941
4638.24	6252.62	383.657808	92.068
4638.24	6252.62	385.440888	98.4419
4638.24	6252.62	386.15412	95.6091
4638.24	6252.62	388.647384	99.8584
4638.24	6252.62	391.500312	81.4448
4638.24	6252.62	392.567112	74.3626
4638.24	6252.62	393.993576	85.6941
4638.24	6252.62	394.706808	75.779
4638.24	6252.62	395.42004	72.9462
4638.24	6252.62	398.626536	77.9037
4638.24	6252.62	398.983152	93.4844
4638.24	6252.62	402.90288	73.6544
4638.24	6252.62	407.895504	84.2776
4638.24	6252.62	409.675536	92.7762
4638.24	6252.62	412.171848	102.691
4638.24	6252.62	413.241696	116.856
4638.24	6252.62	415.73496	100.567
4638.24	6252.62	418.944504	109.065
4638.24	6252.62	419.30112	118.272
4638.24	6252.62	420.36792	137.394
4638.24	6252.62	421.081152	148.017
4638.24	6252.62	423.577464	169.972
4638.24	6252.62	423.93408	180.595
4638.24	6252.62	427.853808	184.844
4638.24	6252.62	428.923656	179.178
4638.24	6252.62	429.636888	189.802
4638.24	6252.62	432.843384	184.844
