DEPT,RILD,RILM,GR,FRES,TMP
F,,,,OHMM,DEGF
117.0,20.036,22.149,89.337,3.386,62.27
117.5,19.949,22.601,94.911,3.375,62.289
118.0,19.863,22.349,95.233,3.365,62.309
118.5,19.778,22.102,88.443,3.354,62.328
119.0,19.694,21.381,84.264,3.328,62.348
119.5,19.594,20.842,87.975,3.271,62.386
120.0,19.455,20.309,93.057,3.205,62.43
120.5,19.315,19.783,93.223,3.139,62.473
121.0,19.175,19.405,93.166,3.114,62.516
121.5,19.034,19.614,95.658,3.102,62.56
122.0,18.889,19.296,98.586,3.073,62.597
122.5,19.597,18.835,100.84,3.013,62.621
123.0,20.413,19.957,101.7,2.953,62.645
123.5,21.334,21.241,100.14,2.893,62.67
124.0,21.234,22.34,95.779,2.88,62.694
124.5,21.11,21.705,98.963,2.872,62.718
125.0,20.7,21.108,107.21,2.864,62.742
125.5,20.291,20.184,112.73,2.856,62.766
126.0,19.72,20.803,106.45,2.729,62.791
126.5,19.792,20.479,100.09,2.565,62.823
127.0,19.18,20.16,99.295,2.401,62.91
127.5,9.6858,19.28,102.52,2.237,62.997
128.0,8.9083,14.574,106.59,2.202,63.084
128.5,7.9458,9.066,105.0,2.184,63.163
129.0,7.106,8.2004,102.93,2.175,63.178
129.5,6.2123,7.375,99.495,2.166,63.193
130.0,5.772,6.6944,95.725,2.157,63.208
130.5,5.3116,5.9653,92.016,2.149,63.224
131.0,4.9365,5.3869,89.373,2.14,63.239
131.5,4.6384,4.9405,90.188,2.131,63.255
132.0,4.3389,4.473,94.359,2.122,63.272
132.5,4.0594,3.9969,98.169,2.113,63.288
133.0,3.8996,3.5701,98.841,2.104,63.304
133.5,3.6809,3.3708,93.709,2.095,63.32
134.0,3.4407,3.1732,90.112,2.086,63.336
134.5,3.1928,2.9753,89.613,2.077,63.352
135.0,2.9296,2.7771,91.424,2.068,63.368
135.5,2.7455,2.5783,86.187,2.059,63.384
136.0,2.5578,2.4183,82.497,2.05,63.4
136.5,2.3694,2.274,84.46,2.041,63.416
137.0,2.1838,2.1298,87.279,2.032,63.432
137.5,2.1059,1.9853,89.812,2.023,63.448
138.0,2.036,1.8402,87.392,2.014,63.465
138.5,1.9135,1.6975,84.938,2.005,63.481
139.0,1.8009,1.633,84.302,1.996,63.497
139.5,1.6844,1.5893,84.292,1.987,63.513
140.0,1.6324,1.5436,79.968,1.978,63.529
140.5,1.5801,1.4977,77.217,1.969,63.545
141.0,1.5281,1.459,76.612,1.96,63.561
141.5,1.492,1.4258,77.947,1.951,63.577
142.0,1.4623,1.3923,81.728,1.942,63.593
142.5,1.4325,1.3588,86.337,1.933,63.609
143.0,1.4027,1.3253,89.715,1.924,63.625
143.5,1.373,1.2919,87.499,1.916,63.641
144.0,1.3433,1.2587,83.289,1.907,63.657
144.5,1.3139,1.2418,81.911,1.891,63.674
145.0,1.2922,1.265,83.293,1.873,63.69
145.5,1.2994,1.2874,87.985,1.856,63.708
146.0,1.306,1.3097,89.784,1.838,63.747
146.5,1.3125,1.3318,88.933,1.821,63.786
147.0,1.319,1.354,90.101,1.785,63.825
147.5,1.3254,1.3762,91.126,1.728,63.863
148.0,1.3318,1.3985,88.537,1.672,63.902
148.5,1.3382,1.4214,82.257,1.621,63.941
149.0,1.3447,1.4318,81.206,1.576,63.967
149.5,1.3511,1.4345,82.407,1.53,63.963
150.0,1.3575,1.437,79.526,1.485,63.958
150.5,1.3639,1.4396,75.132,1.437,63.954
151.0,1.3703,1.4421,75.158,1.274,63.86
151.5,1.3767,1.4446,75.205,1.042,63.763
152.0,1.3831,1.4472,75.221,0.779,63.666
152.5,1.3895,1.4497,81.532,0.55,63.569
153.0,1.3959,1.4523,90.145,0.512,63.471
153.5,1.4022,1.4549,93.813,0.513,63.397
154.0,1.3919,1.4578,87.419,0.515,63.397
154.5,1.3803,1.4505,79.748,0.518,63.397
155.0,1.3688,1.4373,81.825,0.52,63.397
155.5,1.3571,1.4205,86.812,0.521,63.421
156.0,1.3463,1.3956,92.265,0.523,63.525
156.5,1.3263,1.3714,93.551,0.524,63.629
157.0,1.3079,1.3472,91.116,0.526,63.639
157.5,1.2895,1.3231,87.304,0.527,63.645
158.0,1.2708,1.2991,90.589,0.529,63.651
158.5,1.2541,1.2753,95.232,0.53,63.657
159.0,1.2376,1.2699,96.494,0.532,63.663
159.5,1.221,1.2066,95.951,0.533,63.669
160.0,1.2044,1.2212,98.99,0.535,63.675
160.5,1.1874,1.2323,100.42,0.536,63.681
161.0,1.1783,1.2426,99.028,0.538,63.687
161.5,1.1737,1.2526,93.5,0.513,63.693
162.0,1.1693,1.2632,91.015,0.483,63.699
162.5,1.1649,1.2529,89.643,0.452,63.699
163.0,1.1605,1.2405,88.786,0.422,63.688
163.5,1.156,1.228,93.376,0.407,63.678
164.0,1.1516,1.2155,96.735,0.4,63.667
164.5,1.1472,1.2031,97.21,0.394,63.656
165.0,1.1427,1.1909,92.393,0.387,63.645
165.5,1.1383,1.1836,88.728,0.38,63.635
166.0,1.1339,1.2023,85.073,0.373,63.624
166.5,1.1296,1.2205,82.73,0.366,63.613
167.0,1.1261,1.238,84.515,0.359,63.602
167.5,1.1541,1.2533,90.651,0.352,63.591
168.0,1.1829,1.3137,96.849,0.345,63.582
168.5,1.2117,1.397,104.84,0.338,63.573
169.0,1.2402,1.446,110.66,0.331,63.564
169.5,1.2671,1.4634,117.05,0.322,63.555
170.0,1.2761,1.4706,112.93,0.314,63.546
170.5,1.2858,1.4781,106.27,0.298,63.537
171.0,1.2957,1.4873,108.4,0.275,63.529
171.5,1.3056,1.4554,112.63,0.253,63.52
172.0,1.3155,1.4576,109.72,0.231,63.511
172.5,1.3294,1.4583,102.18,0.224,63.502
173.0,1.3463,1.4592,90.911,0.216,63.493
173.5,1.3631,1.4845,85.952,0.208,63.484
174.0,1.3799,1.5105,92.089,0.199,63.475
174.5,1.3968,1.5365,102.81,0.191,63.466
175.0,1.4136,1.5626,109.02,0.183,63.457
175.5,1.4304,1.5888,113.12,0.147,63.41
176.0,1.447,1.6151,117.01,0.106,63.322
176.5,1.4539,1.6423,120.95,0.065,63.235
177.0,1.4371,1.6431,121.5,0.053,63.148
177.5,1.4207,1.6251,114.07,0.042,63.061
178.0,1.4044,1.607,112.8,0.043,63.022
178.5,1.3881,1.5889,118.6,0.045,63.006
179.0,1.3719,1.5707,123.97,0.046,62.99
179.5,1.3557,1.5524,124.58,0.047,62.984
180.0,1.3395,1.533,122.06,0.049,63.018
180.5,1.3233,1.5094,122.28,0.05,63.052
181.0,1.3071,1.4861,123.75,0.052,63.086
181.5,1.2909,1.4628,116.86,0.056,63.12
182.0,1.2748,1.439,107.49,0.061,63.154
182.5,1.2624,1.4255,103.1,0.065,63.188
183.0,1.2593,1.4166,102.42,0.07,63.222
183.5,1.256,1.408,103.59,0.085,63.256
184.0,1.2527,1.4049,104.13,0.101,63.29
184.5,1.2493,1.4117,107.81,0.117,63.324
185.0,1.246,1.4183,110.96,0.132,63.452
185.5,1.2426,1.4248,112.46,0.148,63.585
186.0,1.2392,1.4301,105.26,0.146,63.653
186.5,1.2359,1.4232,98.447,0.144,63.667
187.0,1.2325,1.4167,91.862,0.143,63.681
187.5,1.2292,1.4102,85.812,0.141,63.694
188.0,1.2258,1.4032,88.984,0.139,63.708
188.5,1.2224,1.4029,95.382,0.132,63.721
189.0,1.2191,1.4027,99.615,0.126,63.735
189.5,1.2157,1.3936,102.58,0.12,63.727
190.0,1.2124,1.3703,107.04,0.114,63.676
190.5,1.209,1.3478,111.65,0.108,63.626
191.0,1.2056,1.3252,116.05,0.102,63.575
191.5,1.2023,1.316,116.61,0.109,63.536
192.0,1.1989,1.311,114.64,0.156,63.543
192.5,1.1956,1.3062,114.77,0.216,63.597
193.0,1.1922,1.3013,113.22,0.315,63.742
193.5,1.1888,1.2965,109.9,0.427,63.887
194.0,1.1853,1.2917,107.02,0.539,64.033
194.5,1.1817,1.2868,108.7,0.626,64.178
195.0,1.1884,1.2819,110.55,0.647,64.246
195.5,1.2033,1.2771,111.07,0.667,64.248
196.0,1.2181,1.2723,102.04,0.674,64.249
196.5,1.2326,1.2678,95.417,0.677,64.251
197.0,1.2478,1.275,91.757,0.68,64.253
197.5,1.262,1.3204,92.034,0.683,64.254
198.0,1.2763,1.3594,94.179,0.686,64.256
198.5,1.2907,1.3911,94.914,0.689,64.258
199.0,1.305,1.4226,96.708,0.692,64.259
199.5,1.3191,1.4185,98.841,0.695,64.261
200.0,1.3331,1.3886,101.22,0.692,64.263
200.5,1.3435,1.3594,103.24,0.689,64.264
