DEPT,RILD,RILM,GR,SP,FRES,TMP
F,,,,,OHM-M,DEGF
90.0,8.8704,5.3361,73.602,-1.5137,13.534,59.054
90.5,8.6432,5.3443,70.104,-0.06345,13.397,59.059
91.0,8.5443,5.3524,64.579,2.2845,13.26,59.063
91.5,8.4452,5.3591,63.143,5.4285,13.123,59.069
92.0,8.3462,5.3177,66.516,7.6078,12.986,59.075
92.5,8.2471,5.2537,66.86,8.4891,12.849,59.081
93.0,8.1463,5.1778,60.076,10.652,12.712,59.088
93.5,8.0577,5.1663,58.906,13.855,12.575,59.094
94.0,7.9724,5.1662,63.923,15.562,12.438,59.1
94.5,7.8878,5.1662,68.433,18.8,12.302,59.106
95.0,7.8033,5.1659,71.922,20.049,12.165,59.113
95.5,7.7151,5.1351,71.804,22.945,12.028,59.119
96.0,7.6175,5.0888,70.357,26.276,11.853,59.125
96.5,7.5199,5.0171,70.81,27.116,11.573,59.131
97.0,7.4222,4.8788,71.527,29.349,10.889,59.138
97.5,7.3246,4.8124,69.971,32.264,10.001,59.144
98.0,7.2191,4.7811,67.277,35.243,9.114,59.15
98.5,7.1108,4.7497,67.668,36.921,8.227,59.157
99.0,7.0024,4.7183,69.967,36.564,7.417,59.163
99.5,6.9271,4.6781,72.238,36.497,7.111,59.169
100.0,6.8673,4.6143,74.522,37.957,6.805,59.175
100.5,6.8711,4.5658,73.575,37.75,6.499,59.199
101.0,6.8898,4.5314,66.831,35.938,6.214,59.228
101.5,6.9066,4.5709,61.85,35.994,5.939,59.258
102.0,7.0935,4.6238,59.802,37.513,5.664,59.288
102.5,7.3043,4.7674,60.765,42.229,5.389,59.317
103.0,7.7044,4.9914,62.49,47.012,5.115,59.347
103.5,8.1048,5.2219,60.198,46.625,4.84,59.377
104.0,8.505,5.4622,59.492,45.66,4.565,59.406
104.5,8.9056,5.6799,60.919,46.095,4.29,59.436
105.0,9.3128,5.772,58.597,47.277,4.147,59.438
105.5,9.5672,5.8644,55.194,48.46,4.12,59.438
106.0,9.8303,6.0021,52.571,48.926,4.093,59.438
106.5,10.471,6.1536,52.581,48.079,4.066,59.438
107.0,10.602,6.3071,54.034,47.226,4.039,59.438
107.5,10.738,6.4394,55.912,45.822,4.012,59.438
108.0,10.875,6.4048,57.253,44.979,3.985,59.438
108.5,11.012,6.323,55.216,45.363,3.957,59.438
109.0,11.148,6.241,56.448,45.65,3.93,59.438
109.5,11.285,6.1663,59.72,46.065,3.903,59.438
110.0,11.421,6.254,62.766,46.48,3.876,59.438
110.5,11.618,6.3891,64.226,46.894,3.849,59.438
111.0,11.994,6.5722,63.402,48.057,3.822,59.438
111.5,12.681,6.8748,61.562,49.561,3.794,59.438
112.0,13.416,7.2319,59.913,49.217,3.767,59.438
112.5,14.385,7.7142,61.694,43.954,3.74,59.438
113.0,15.512,8.1916,66.483,42.023,3.713,59.438
113.5,16.638,10.976,69.795,43.442,3.686,59.438
114.0,17.764,14.559,68.37,45.251,3.659,59.438
114.5,18.89,18.621,64.425,47.057,3.631,59.438
115.0,19.617,9.9584,62.826,47.206,3.604,59.438
115.5,20.154,19.598,60.901,44.208,3.577,59.438
116.0,20.692,19.598,56.906,44.664,3.55,59.438
116.5,21.229,19.598,53.97,47.583,3.523,59.438
117.0,21.64,19.483,51.798,47.577,3.496,59.438
117.5,21.948,19.272,51.385,46.209,3.517,59.438
118.0,22.258,19.274,54.172,44.478,3.545,59.438
118.5,22.567,19.627,58.918,44.752,3.574,59.438
119.0,22.376,19.353,62.392,46.795,3.602,59.438
119.5,22.167,19.349,60.62,44.756,3.631,59.438
120.0,21.647,19.354,58.61,42.732,3.659,59.438
120.5,20.432,17.806,59.623,44.469,3.693,59.438
121.0,19.213,9.8404,62.309,50.38,3.727,59.438
121.5,17.994,9.3369,63.371,54.999,3.76,59.438
122.0,16.776,8.8269,61.695,55.507,3.794,59.438
122.5,15.557,8.3544,60.207,49.783,3.828,59.438
123.0,14.339,7.8327,60.984,47.875,3.862,59.438
123.5,13.263,7.4087,62.303,48.495,3.896,59.438
124.0,12.601,7.1997,64.067,52.604,3.929,59.438
124.5,11.936,7.018,66.23,54.27,3.963,59.438
125.0,11.367,6.866,68.449,51.277,3.997,59.439
125.5,10.967,6.7154,70.671,49.825,4.031,59.44
126.0,10.571,6.459,69.813,48.949,4.065,59.441
126.5,10.061,6.2012,63.328,49.119,4.099,59.442
127.0,9.4954,5.9288,56.597,49.906,4.132,59.442
127.5,8.9455,5.5993,56.962,50.691,4.166,59.443
128.0,8.3957,5.2693,60.952,51.482,4.2,59.444
128.5,7.8455,5.0241,62.626,51.316,4.313,59.445
129.0,7.2839,4.8158,62.978,49.386,4.518,59.446
129.5,6.8729,4.6322,64.44,47.454,4.723,59.447
130.0,6.5279,4.4686,65.17,45.487,4.928,59.448
130.5,6.2049,4.298,62.971,44.253,5.133,59.449
131.0,5.8818,4.1241,61.571,44.252,5.338,59.45
131.5,5.5587,3.935,63.584,44.235,5.543,59.451
132.0,5.2356,3.7119,68.07,45.645,5.748,59.452
132.5,4.9125,3.4937,73.395,46.499,5.953,59.453
133.0,4.6036,3.3431,72.764,44.233,6.158,59.454
133.5,4.3399,3.1786,64.698,41.902,6.362,59.454
134.0,4.1014,3.0086,55.818,41.894,6.567,59.455
134.5,3.9415,2.9371,56.008,45.078,6.772,59.456
135.0,3.7817,2.8662,64.493,48.754,6.977,59.457
135.5,3.6224,2.7946,71.539,48.624,7.182,59.458
136.0,3.464,2.723,73.784,47.919,7.387,59.459
136.5,3.3187,2.6514,72.014,45.663,7.592,59.46
137.0,3.2201,2.6176,66.95,45.364,7.797,59.461
137.5,3.1216,2.6175,62.327,45.39,8.002,59.462
138.0,3.0829,2.5907,60.269,43.607,8.207,59.463
138.5,3.0358,2.5158,61.547,42.476,8.411,59.464
139.0,2.892,2.4357,66.266,41.578,8.616,59.465
139.5,2.7416,2.3566,69.68,43.212,8.821,59.466
140.0,2.5911,2.2776,69.153,41.087,9.026,59.466
140.5,2.4407,2.1986,68.005,37.489,9.215,59.467
141.0,2.3022,2.1196,69.258,36.532,9.342,59.468
141.5,2.233,2.0405,70.433,36.5,9.469,59.469
142.0,2.1636,1.948,69.045,34.113,9.596,59.47
142.5,2.0942,1.8518,67.379,31.814,9.723,59.471
143.0,2.0246,1.759,67.617,30.368,9.849,59.472
143.5,1.9765,1.7174,68.843,28.476,9.976,59.473
144.0,1.9348,1.679,68.537,28.691,10.103,59.474
144.5,1.893,1.7002,65.678,28.501,10.23,59.475
145.0,1.8805,1.727,62.902,28.309,10.357,59.485
145.5,1.9046,1.7539,63.071,27.029,10.472,59.497
146.0,1.9289,1.7808,63.491,25.407,10.429,59.51
146.5,1.9531,1.8111,63.911,24.21,10.386,59.522
147.0,1.9773,1.8423,63.859,20.981,10.343,59.535
147.5,2.0016,1.8702,61.657,16.612,10.299,59.547
148.0,2.0039,1.8666,60.207,10.374,10.256,59.559
148.5,1.9978,1.8611,61.161,5.2544,10.213,59.572
149.0,1.9916,1.8556,62.85,3.8714,10.17,59.584
149.5,1.9855,1.8502,64.546,7.5279,10.126,59.597
150.0,1.974,1.8447,64.93,12.651,10.083,59.609
150.5,1.9304,1.8053,61.29,18.335,10.04,59.622
151.0,1.8749,1.7823,54.654,19.733,9.997,59.63
151.5,1.8191,1.7175,51.171,18.34,9.954,59.639
152.0,1.7634,1.6528,55.574,16.328,9.91,59.647
152.5,1.7076,1.636,58.259,13.997,9.867,59.655
153.0,1.6522,1.6231,56.564,12.12,9.824,59.663
153.5,1.6378,1.6085,56.688,10.229,9.781,59.671
154.0,1.6267,1.5935,59.266,8.3483,9.727,59.679
154.5,1.6156,1.5785,60.704,6.1306,9.643,59.687
155.0,1.6044,1.5635,58.121,4.6423,9.558,59.695
155.5,1.5933,1.5485,51.734,5.0579,9.474,59.703
156.0,1.5822,1.5335,46.414,5.4914,9.39,59.711
156.5,1.571,1.5185,43.176,5.0265,9.306,59.719
157.0,1.5628,1.5036,40.037,4.3176,9.222,59.727
157.5,1.5578,1.4886,40.123,4.039,9.138,59.735
158.0,1.5529,1.4736,41.532,4.3047,9.054,59.743
158.5,1.5479,1.4586,39.601,3.8237,8.97,59.751
159.0,1.543,1.4436,36.741,1.8789,8.885,59.76
159.5,1.5382,1.4286,35.238,0.76586,8.801,59.768
160.0,1.5179,1.4097,34.099,-0.25763,8.717,59.776
160.5,1.4955,1.3902,33.847,-1.4749,8.633,59.784
161.0,1.473,1.3708,32.697,-3.3659,8.549,59.792
161.5,1.4505,1.3513,33.041,-5.2595,8.465,59.8
162.0,1.4274,1.3154,35.128,-6.2042,8.381,59.808
162.5,1.467,1.3505,36.59,-7.0263,8.297,59.816
163.0,1.5103,1.3937,34.532,-8.2962,8.212,59.824
163.5,1.5535,1.437,31.386,-9.6052,8.128,59.832
164.0,1.5924,1.4803,30.369,-10.915,8.044,59.84
164.5,1.6297,1.5236,33.679,-12.23,7.96,59.848
165.0,1.667,1.567,35.536,-13.51,7.876,59.856
165.5,1.7043,1.5854,32.747,-15.324,7.792,59.864
166.0,1.7416,1.5675,30.737,-17.938,7.708,59.873
166.5,1.7517,1.5493,31.856,-20.436,7.624,59.881
167.0,1.7378,1.5431,36.646,-22.609,7.54,59.889
167.5,1.7239,1.5599,41.616,-25.366,7.455,59.897
168.0,1.7101,1.5767,42.97,-28.313,7.371,59.905
168.5,1.6962,1.5936,39.519,-31.259,7.287,59.913
169.0,1.6824,1.6108,38.1,-33.854,7.203,59.921
169.5,1.6589,1.5862,37.493,-36.423,7.119,59.933
170.0,1.627,1.502,33.184,-39.532,7.035,59.945
170.5,1.5675,1.4173,29.255,-43.57,6.951,59.957
171.0,1.5015,1.3325,30.213,-47.576,6.867,59.97
171.5,1.4352,1.2951,38.95,-51.838,6.782,59.982
172.0,1.3703,1.228,45.797,-55.276,6.604,59.994
172.5,1.3053,1.2227,45.563,-58.42,6.283,60.007
173.0,1.2869,1.2166,40.386,-61.561,5.961,60.019
173.5,1.2852,1.2104,34.282,-64.704,5.64,60.031
174.0,1.2836,1.2042,32.908,-67.614,5.319,60.044
174.5,1.2819,1.198,34.065,-69.315,4.998,60.056
175.0,1.2803,1.1918,37.851,-72.801,4.677,60.068
175.5,1.2786,1.1856,40.813,-76.552,4.356,60.081
176.0,1.277,1.1794,42.169,-82.132,4.035,60.093
176.5,1.2753,1.1795,40.029,-88.231,3.714,60.106
177.0,1.2737,1.1837,37.901,-94.315,3.428,60.125
177.5,1.272,1.1878,36.753,-97.154,3.368,60.145
178.0,1.2704,1.192,38.856,-95.514,3.309,60.166
178.5,1.2687,1.1961,38.744,-93.954,3.249,60.187
179.0,1.2671,1.2003,37.007,-97.203,3.189,60.207
179.5,1.2654,1.2046,36.803,-100.53,3.13,60.228
180.0,1.2638,1.1985,38.43,-103.85,3.07,60.249
180.5,1.2621,1.1911,40.903,-107.15,3.01,60.266
181.0,1.2605,1.1837,43.912,-110.53,2.951,60.28
181.5,1.2587,1.1767,46.476,-113.88,2.891,60.295
182.0,1.2568,1.1728,43.597,-116.27,2.831,60.31
182.5,1.2549,1.1689,40.089,-118.61,2.772,60.324
183.0,1.2531,1.165,40.202,-120.57,2.712,60.339
183.5,1.2512,1.1611,43.352,-122.22,2.653,60.354
184.0,1.2494,1.1572,46.889,-123.34,2.593,60.368
184.5,1.2475,1.1532,50.359,-123.81,2.533,60.383
185.0,1.2457,1.1493,51.919,-124.12,2.474,60.398
185.5,1.2438,1.1454,56.182,-123.69,2.414,60.412
