DEPT,RILM,RILD,GR,SP,FRES,TMP
F,,,,,OHMM,DEGF
116.0,82.264,41.528,50.783,5.0553,8.042,61.323
116.5,88.263,40.505,54.255,5.547,8.037,61.327
117.0,93.446,40.354,56.189,5.6586,8.032,61.33
117.5,91.667,40.515,53.376,5.7887,8.027,61.334
118.0,89.825,42.128,50.192,5.9526,8.022,61.337
118.5,93.592,44.525,51.743,6.4662,8.017,61.341
119.0,90.834,47.777,54.64,7.2422,8.012,61.344
119.5,86.883,99.734,58.143,8.016,8.007,61.347
120.0,92.117,99.185,59.153,8.7736,8.002,61.351
120.5,96.286,89.592,59.962,8.1143,7.999,61.354
121.0,89.591,57.453,59.684,7.4434,7.995,61.358
121.5,83.559,41.13,61.339,8.3822,7.991,61.361
122.0,78.914,37.978,63.127,9.1495,7.988,61.365
122.5,70.881,35.881,63.13,10.267,7.984,61.368
123.0,62.873,34.52,59.267,11.525,7.98,61.372
123.5,54.866,33.159,54.632,12.992,7.976,61.375
124.0,45.371,32.534,54.01,13.658,7.983,61.379
124.5,40.046,31.996,57.858,14.294,7.992,61.382
125.0,37.448,30.713,65.758,14.94,8.0,61.386
125.5,32.308,29.047,74.732,16.056,8.009,61.389
126.0,24.371,26.816,83.611,17.696,8.017,61.393
126.5,19.081,24.649,87.626,18.764,8.026,61.396
127.0,15.568,22.701,86.601,19.22,8.034,61.4
127.5,12.548,21.192,88.864,19.674,8.043,61.403
128.0,12.474,20.907,91.608,20.284,8.051,61.407
128.5,16.067,21.588,91.75,21.097,8.06,61.41
129.0,20.222,23.011,91.691,22.193,8.068,61.414
129.5,19.694,24.475,96.204,21.901,8.077,61.417
130.0,18.048,24.926,98.755,21.908,8.085,61.421
130.5,19.146,24.675,88.961,21.157,8.094,61.424
131.0,20.408,24.61,78.324,20.321,8.102,61.428
131.5,20.738,24.901,68.824,19.505,8.103,61.431
132.0,19.456,24.603,65.068,18.762,8.097,61.435
132.5,18.405,23.917,63.579,18.667,8.091,61.438
133.0,17.486,22.776,66.823,18.588,8.064,61.429
133.5,16.654,21.633,73.555,18.869,7.963,61.419
134.0,15.789,20.489,73.768,19.145,7.862,61.467
134.5,14.816,19.439,71.303,19.42,7.761,61.516
135.0,14.42,18.643,68.414,19.695,7.773,61.564
135.5,14.151,18.396,64.742,20.044,7.825,61.591
136.0,14.486,18.647,63.119,21.089,7.883,61.577
136.5,14.836,18.898,65.675,22.397,7.941,61.562
137.0,15.197,19.111,70.347,23.795,7.999,61.548
137.5,15.277,19.181,71.084,25.221,8.021,61.538
138.0,15.41,19.344,64.85,27.067,8.031,61.528
138.5,15.543,20.301,56.541,28.958,8.041,61.518
139.0,15.487,21.516,49.903,30.321,8.035,61.508
139.5,15.486,22.617,48.0,31.525,8.029,61.498
140.0,15.486,22.63,52.919,32.106,8.023,61.488
140.5,15.478,21.969,56.851,31.909,8.017,61.489
141.0,15.081,20.844,58.63,31.707,8.011,61.496
141.5,14.678,19.718,55.019,31.504,8.005,61.504
142.0,14.57,18.827,49.107,31.336,7.999,61.511
142.5,14.666,18.943,43.746,31.245,7.993,61.519
143.0,14.76,19.049,44.378,31.152,7.987,61.526
143.5,14.708,19.153,45.573,31.31,7.982,61.534
144.0,14.762,19.202,44.777,32.235,7.976,61.542
144.5,14.692,18.995,41.964,33.157,7.97,61.549
145.0,14.566,18.313,42.345,34.118,7.964,61.557
145.5,14.441,17.566,44.13,33.956,7.958,61.564
146.0,13.886,16.639,44.175,34.42,7.952,61.572
146.5,12.992,15.709,44.511,34.261,7.946,61.579
147.0,11.626,14.777,46.456,33.88,7.94,61.587
147.5,10.331,13.958,50.247,34.124,7.934,61.595
148.0,9.2284,13.243,55.598,34.945,7.928,61.602
148.5,8.149,12.323,60.452,35.596,7.922,61.61
149.0,8.2749,11.469,63.969,35.791,7.91,61.617
149.5,8.4894,11.667,64.372,35.987,7.893,61.625
150.0,9.1894,11.862,64.571,36.182,7.876,61.632
150.5,10.185,12.177,65.092,36.376,7.859,61.64
151.0,10.071,12.5,68.038,36.377,7.842,61.647
151.5,10.117,12.823,70.601,35.193,7.826,61.655
152.0,10.163,13.146,70.321,34.325,7.809,61.663
152.5,10.228,13.468,68.189,33.847,7.792,61.67
153.0,11.359,13.777,66.474,33.725,7.775,61.678
153.5,12.927,14.592,62.198,33.609,7.758,61.685
154.0,14.462,15.431,60.158,34.261,7.741,61.693
154.5,15.489,16.225,61.368,34.895,7.725,61.7
155.0,15.087,16.463,64.634,35.521,7.708,61.708
155.5,14.417,16.466,64.748,36.147,7.691,61.716
156.0,13.525,15.93,61.24,36.903,7.674,61.723
156.5,12.467,15.223,55.867,36.887,7.657,61.731
157.0,11.429,14.521,52.509,37.145,7.641,61.738
157.5,10.709,13.82,55.215,37.514,7.624,61.746
158.0,10.276,13.118,58.776,37.979,7.607,61.753
158.5,9.7848,12.405,61.949,38.477,7.59,61.761
159.0,9.2942,12.066,61.356,39.092,7.573,61.769
159.5,8.9561,11.791,59.444,39.702,7.557,61.776
160.0,8.6394,11.516,58.696,39.408,7.54,61.784
160.5,8.315,11.24,60.72,39.088,7.523,61.791
161.0,8.1901,11.041,64.035,38.767,7.506,61.799
161.5,8.5254,11.042,65.738,38.432,7.489,61.806
162.0,8.8959,11.274,66.586,38.088,7.473,61.814
162.5,9.2174,11.62,66.667,37.798,7.456,61.822
163.0,10.055,11.967,64.465,37.513,7.439,61.829
163.5,10.755,12.313,59.487,37.869,7.422,61.837
164.0,11.758,12.659,58.001,38.344,7.405,61.844
164.5,11.853,12.988,56.399,38.988,7.389,61.852
165.0,11.571,13.133,54.192,39.756,7.372,61.859
165.5,11.034,13.268,52.381,40.55,7.355,61.867
166.0,10.305,12.991,52.702,41.829,7.338,61.875
166.5,9.5746,12.695,53.712,41.151,7.322,61.882
167.0,9.6551,12.398,53.218,40.246,7.306,61.89
167.5,9.9605,12.18,50.902,38.349,7.289,61.897
168.0,11.134,12.39,49.567,36.46,7.273,61.905
168.5,11.89,13.135,49.232,34.849,7.257,61.912
169.0,12.214,13.886,50.273,34.273,7.24,61.92
169.5,12.418,14.625,49.967,33.692,7.224,61.928
170.0,12.484,14.293,49.09,33.12,7.208,61.935
170.5,12.087,13.604,46.317,31.988,7.191,61.943
171.0,11.692,12.861,43.739,30.837,7.175,61.95
171.5,11.299,12.12,43.573,31.012,7.159,61.958
172.0,10.892,11.681,45.822,30.625,7.142,61.965
172.5,10.47,11.565,47.321,31.102,7.126,61.973
173.0,10.047,11.45,46.905,31.765,7.11,61.981
173.5,9.6231,11.341,46.492,32.909,7.093,61.988
174.0,9.2425,10.864,48.747,34.253,7.077,61.996
174.5,8.8757,10.374,50.17,35.594,7.061,62.003
175.0,8.709,9.9589,50.165,36.91,7.044,62.011
175.5,8.765,9.7368,45.686,36.936,7.028,62.018
176.0,8.8146,9.5289,41.409,36.628,7.012,62.026
176.5,8.675,9.3216,40.498,35.863,6.995,62.034
177.0,8.2165,9.122,42.294,35.125,6.979,62.041
177.5,7.7493,8.6946,43.773,34.918,6.963,62.049
178.0,7.2818,8.2597,42.797,35.655,6.946,62.056
178.5,6.8142,7.8239,39.338,36.377,6.93,62.064
179.0,6.3467,7.3864,33.608,37.099,6.914,62.071
179.5,5.9408,7.0969,29.977,37.753,6.897,62.079
180.0,5.7934,6.8458,29.925,38.321,6.881,62.087
180.5,5.4175,6.5953,32.433,38.862,6.865,62.099
181.0,5.2099,6.3488,34.186,38.633,6.848,62.111
181.5,5.2079,6.0495,33.163,38.24,6.819,62.124
182.0,5.2072,6.0421,32.149,37.441,6.785,62.145
182.5,5.4052,6.0433,32.147,37.582,6.757,62.197
183.0,5.6367,6.1954,32.443,38.151,6.73,62.249
183.5,5.6957,6.3784,32.569,39.027,6.703,62.297
184.0,5.7529,6.6506,33.648,39.911,6.675,62.345
184.5,6.0063,6.9216,36.049,41.48,6.648,62.393
185.0,6.2809,7.1709,41.735,44.779,6.62,62.441
185.5,6.3993,7.2784,48.941,48.446,6.597,62.487
186.0,6.363,7.3875,52.781,49.986,6.582,62.498
186.5,6.4437,7.3609,50.683,49.616,6.567,62.509
187.0,6.5499,7.1974,46.997,48.374,6.552,62.52
187.5,6.5172,6.9676,45.894,47.228,6.537,62.531
188.0,6.3826,6.7367,48.818,46.963,6.522,62.542
188.5,6.2485,6.5024,49.684,47.184,6.499,62.556
189.0,6.1148,6.1753,47.759,47.576,6.473,62.578
189.5,5.8702,5.8177,47.222,47.988,6.448,62.601
190.0,5.5009,5.4607,49.782,48.426,6.422,62.624
190.5,5.1295,5.1062,51.815,48.847,6.396,62.646
191.0,4.7581,4.8922,50.453,50.002,6.383,62.669
191.5,4.6514,4.7939,49.096,51.462,6.375,62.69
192.0,4.6533,4.6969,48.759,53.757,6.367,62.697
192.5,4.6663,4.8511,49.929,58.907,6.36,62.704
193.0,5.1444,5.1981,51.478,66.551,6.352,62.71
193.5,5.6158,5.5443,50.715,72.029,6.344,62.717
194.0,6.1146,5.9011,48.081,74.813,6.337,62.724
194.5,6.7883,6.5712,45.405,75.385,6.329,62.73
195.0,7.4674,7.2647,40.923,75.376,6.321,62.737
195.5,8.1467,8.1804,34.015,75.501,6.314,62.744
196.0,8.826,9.274,29.464,75.451,6.306,62.75
196.5,9.5053,10.346,26.353,74.895,6.298,62.757
197.0,10.185,11.021,27.554,73.366,6.291,62.764
197.5,10.83,11.68,29.653,72.158,6.283,62.77
198.0,11.254,12.328,31.21,71.096,6.275,62.777
198.5,11.668,12.725,30.512,70.007,6.267,62.784
199.0,12.775,13.909,29.838,68.922,6.26,62.79
199.5,13.956,15.084,29.735,67.852,6.252,62.797
200.0,14.895,16.257,31.166,66.807,6.25,62.793
200.5,15.364,17.416,32.601,65.768,6.252,62.793
201.0,15.61,17.832,33.314,65.361,6.254,62.793
201.5,14.84,17.526,32.661,64.081,6.256,62.793
202.0,13.939,16.858,32.386,62.825,6.258,62.793
202.5,12.67,15.588,33.215,62.262,6.26,62.793
203.0,12.617,14.274,33.048,61.653,6.262,62.793
203.5,13.24,13.991,32.008,61.04,6.264,62.79
204.0,14.227,14.195,32.328,60.666,6.266,62.785
204.5,14.545,15.409,34.7,60.365,6.268,62.78
205.0,14.316,16.628,38.721,60.331,6.27,62.774
205.5,12.777,17.015,41.962,60.598,6.272,62.769
206.0,10.829,16.221,44.558,61.498,6.274,62.764
206.5,8.877,14.413,47.172,61.788,6.276,62.761
207.0,8.3637,12.588,48.855,61.311,6.279,62.759
207.5,8.3223,11.326,44.871,61.592,6.283,62.756
208.0,8.278,10.868,40.445,61.781,6.286,62.753
208.5,8.4516,10.979,38.243,61.851,6.289,62.751
209.0,9.4202,11.922,37.728,61.921,6.293,62.748
209.5,10.848,13.403,36.569,61.995,6.297,62.73
210.0,11.386,14.329,34.62,61.666,6.304,62.704
210.5,11.027,14.544,34.966,61.232,6.359,62.678
211.0,10.345,13.678,37.269,60.799,6.418,62.65
211.5,9.9237,12.812,38.305,60.367,6.476,62.622
212.0,9.5,12.031,37.343,60.334,6.535,62.594
212.5,9.2372,11.506,34.33,60.335,6.593,62.566
213.0,9.0405,10.929,31.366,60.614,6.652,62.538
213.5,8.5736,10.212,31.417,60.913,6.71,62.515
214.0,7.895,9.2442,32.01,61.202,6.769,62.496
214.5,7.2167,8.4927,29.996,61.422,6.827,62.477
215.0,6.9066,7.8349,24.792,61.648,6.886,62.458
215.5,6.5843,7.2322,21.758,62.245,6.944,62.441
216.0,6.2649,6.8926,23.498,62.684,7.002,62.444
216.5,5.8264,6.5532,25.924,62.118,7.052,62.447
217.0,5.1856,6.2136,26.299,61.551,7.086,62.45
217.5,5.0838,5.874,25.708,60.968,7.118,62.453
218.0,4.8125,5.5344,24.379,61.559,7.153,62.456
218.5,4.5322,5.2737,24.511,62.353,7.226,62.459
219.0,4.2554,5.1085,24.724,63.32,7.299,62.462
