SBWM-1			
4			
x			
y			
z			
single point			
x UTM	y UTM	z	Single point
5128.45	6931.41	328.187232	43.504
5128.45	6931.41	330.88776	46.2454
5128.45	6931.41	331.235232	44.0538
5128.45	6931.41	333.268248	44.603
5128.45	6931.41	334.274088	47.3434
5128.45	6931.41	335.959632	50.3581
5128.45	6931.41	336.980712	48.9889
5128.45	6931.41	340.720608	45.4296
5128.45	6931.41	342.080016	44.0605
5128.45	6931.41	344.106936	46.2536
5128.45	6931.41	345.4572	47.6243
		346.487424	44.0633
		348.188208	42.4205
		350.556504	43.2439
		353.263128	44.8894
		354.622536	43.7943
		355.981944	42.6993
		357.326112	45.7138
		359.362176	45.1671
		363.422112	47.0875
		364.449288	44.6224
		367.506432	42.1585
		370.566624	39.1467
		373.959048	38.3269
		376.662624	40.7943
		377.683704	39.6991
		380.390328	41.0706
		383.093904	43.538
		384.438072	46.5526
		385.785288	48.7452
		387.495216	44.9106
		388.162728	47.3768
		390.204888	44.6383
		391.232064	41.8992
		392.591472	40.8042
		395.295048	43.5456
		397.666392	43.2731
		399.693312	45.4661
		401.384952	46.837
		402.40908	44.0979
		403.768488	43.5508
		405.795408	44.922
		406.469016	46.2922
		408.157608	48.4851
		408.828168	50.6773
		411.87312	52.049
		413.906136	52.0503
		415.600824	52.0513
		416.966328	49.3124
		418.703688	36.4368
		419.02068	43.2863
		419.115168	15.3412
		419.746104	29.0402
		419.779632	19.1772
		419.81316	9.31421
		420.105768	23.013
		420.5142	2.7393
